,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,TVSMOTOR,EQ,N,3725,3641,2223064043.85,602873,85.4,2.35,3720,31-Dec-2025 16:00:29,3687.45
1,TIINDIA,EQ,N,2625.4,2566,376526601,144804,47.4,1.85,2612.8,31-Dec-2025 16:00:29,2600.25
2,EICHERMOT,EQ,N,7322.5,7140,2597991900.93,357381,121.5,1.69,7314,31-Dec-2025 16:00:29,7269.53
3,BOSCHLTD,EQ,N,36310,35700,488830509.16,13573,570,1.60,36095,31-Dec-2025 16:00:29,36014.92
4,TMPV,EQ,N,368.5,360.65,3817713980.64,10439184,5.65,1.56,367.4,31-Dec-2025 16:00:29,365.71
5,M&M,EQ,N,3723.6,3640.4,6883516382.75,1868363,55.7,1.52,3716,31-Dec-2025 16:00:29,3684.25
6,EXIDEIND,EQ,N,363.5,357.25,263944815.05,731453,4.45,1.24,362.3,31-Dec-2025 16:00:29,360.85
7,BHARATFORG,EQ,N,1490.9,1455,2871572563.53,1952667,15.4,1.06,1470,31-Dec-2025 16:00:29,1470.59
8,HEROMOTOCO,EQ,N,5785.5,5684.5,2721912657.75,473265,51,0.89,5762,31-Dec-2025 16:00:29,5751.35
9,BAJAJ-AUTO,EQ,N,9398,9296.5,2990821160.56,319864,68,0.73,9350,31-Dec-2025 16:00:29,9350.29
10,UNOMINDA,EQ,N,1290,1256.8,665702858.73,520247,4.7,0.37,1278,31-Dec-2025 16:00:29,1279.59
11,MARUTI,EQ,N,16776,16581,5245513322.79,314427,41,0.25,16688,31-Dec-2025 16:00:29,16682.77
12,ASHOKLEY,EQ,N,180.34,176.7,2252859739.98,12570359,0.37,0.21,179,31-Dec-2025 16:00:29,179.22
13,MOTHERSON,EQ,N,121,119.65,665347373.03,5541329,0.24,0.20,119.99,31-Dec-2025 16:00:29,120.07
14,SONACOMS,EQ,N,481.4,472.8,282002018.76,589617,0.15,0.03,478.95,31-Dec-2025 16:00:29,478.28
